Cutoff >1
N1 20000
MaxLen1 12
nHaps NHaps nSp single_nucleotide_pDNCs pDNC_recovered
2 10 189 0.00759878419453 0.452887537994 1 7132 1043 |0, 1, 0, 0|54, 117, 3, 2|435, 1583, 61, 148|319, 2255, 51, 299|97, 1358, 23, 326
2 9 189 0.0121580547112 0.449848024316 0 7760 1083 |0, 0, 0, 0|56, 94, 1, 3|500, 1992, 37, 119|331, 2439, 25, 325|118, 1408, 15, 297
2 8 189 0.00455927051672 0.445288753799 0 7466 994 |0, 0, 0, 0|54, 212, 3, 6|455, 2009, 41, 173|284, 2206, 41, 276|103, 1321, 13, 269
2 7 189 0.0106382978723 0.44376899696 0 7635 1227 |0, 0, 0, 0|56, 72, 1, 2|629, 2082, 31, 143|349, 2389, 33, 205|118, 1333, 10, 182
2 6 189 0.00455927051672 0.460486322188 0 7001 923 |0, 0, 0, 0|53, 192, 3, 5|426, 1840, 50, 136|255, 2123, 29, 256|88, 1275, 19, 251
2 5 189 0.00759878419453 0.451367781155 0 7223 1252 |0, 0, 0, 0|54, 178, 3, 5|622, 1798, 58, 149|315, 2135, 37, 216|128, 1259, 35, 231
2 4 189 0.00911854103343 0.460486322188 1 7358 1271 |0, 1, 0, 0|54, 56, 3, 0|631, 1860, 76, 146|350, 2220, 43, 275|94, 1329, 20, 200
2 3 189 0.00455927051672 0.457446808511 0 7665 953 |0, 0, 0, 0|54, 125, 3, 1|471, 1999, 59, 206|248, 2353, 39, 372|60, 1286, 19, 370
2 2 189 0.0121580547112 0.44376899696 0 6558 1070 |0, 0, 0, 0|54, 131, 3, 2|470, 1758, 52, 120|329, 1812, 31, 295|107, 1113, 24, 257
2 1 189 0.0121580547112 0.446808510638 0 7208 1160 |0, 0, 0, 0|56, 71, 1, 1|532, 1813, 54, 136|340, 2135, 31, 206|125, 1444, 21, 242
3 10 189 0.0121580547112 0.449848024316 0 6773 1133 |0, 0, 0, 0|54, 191, 3, 5|487, 1687, 59, 120|315, 2009, 51, 280|146, 1119, 18, 229
3 9 189 0.0106382978723 0.449848024316 0 7150 1009 |0, 0, 0, 0|54, 192, 3, 7|467, 1561, 44, 117|297, 2133, 24, 368|96, 1382, 24, 381
3 8 189 0.0136778115502 0.442249240122 0 7299 1283 |0, 0, 0, 0|54, 171, 3, 7|581, 1700, 63, 129|387, 2206, 38, 256|134, 1325, 23, 222
3 7 189 0.0106382978723 0.457446808511 0 7589 1118 |0, 0, 0, 0|56, 81, 1, 2|519, 1960, 45, 110|327, 2372, 30, 265|122, 1410, 18, 271
3 6 189 0.00759878419453 0.448328267477 0 7508 1040 |0, 0, 0, 0|54, 142, 3, 4|464, 2086, 41, 174|308, 2336, 50, 219|95, 1283, 25, 224
3 5 189 0.00759878419453 0.462006079027 0 7143 1057 |0, 0, 0, 0|54, 204, 3, 5|446, 1789, 53, 154|312, 2124, 35, 244|124, 1333, 30, 233
3 4 189 0.00455927051672 0.460486322188 0 6852 1065 |0, 0, 0, 0|54, 109, 3, 2|509, 1861, 56, 169|277, 2007, 41, 234|108, 1156, 17, 249
3 3 189 0.0136778115502 0.449848024316 0 7133 1079 |0, 0, 0, 0|54, 204, 3, 7|516, 1950, 53, 143|298, 2113, 35, 248|100, 1203, 20, 186
3 2 189 0.0151975683891 0.468085106383 0 7066 1161 |0, 0, 0, 0|54, 194, 3, 6|477, 1807, 55, 128|365, 2115, 46, 221|127, 1223, 34, 211
3 1 189 0.00911854103343 0.449848024316 0 6978 1013 |0, 0, 0, 0|53, 237, 3, 6|431, 1576, 56, 99|297, 2168, 46, 232|106, 1385, 21, 262
