Cutoff >1
N1 20000
MaxLen1 12
nHaps NHaps nSp single_nucleotide_pDNCs pDNC_recovered
2 10 11 0.00607902735562 0.229483282675 7 3357 714 |3, 4, 0, 0|105, 167, 2, 1|507, 1617, 16, 27|73, 729, 7, 10|1, 86, 0, 2
2 9 11 0.0243161094225 0.243161094225 5 2976 811 |3, 2, 0, 0|99, 106, 2, 1|603, 1220, 17, 23|81, 718, 5, 11|1, 83, 0, 1
2 8 11 0.0212765957447 0.232522796353 5 2947 762 |3, 2, 0, 0|98, 111, 2, 1|494, 1035, 14, 16|143, 920, 5, 26|3, 72, 0, 2
2 7 11 0.0212765957447 0.224924012158 4 4644 551 |3, 1, 0, 0|105, 86, 2, 0|384, 1919, 13, 656|40, 698, 4, 602|0, 52, 0, 79
2 6 11 0.00607902735562 0.22188449848 9 3289 482 |3, 6, 0, 0|57, 294, 1, 15|348, 1414, 14, 424|58, 407, 0, 114|1, 81, 0, 52
2 5 11 0.0212765957447 0.227963525836 4 3266 740 |3, 1, 0, 0|105, 63, 2, 0|502, 1580, 14, 33|108, 778, 3, 12|3, 59, 0, 0
2 4 11 0.0212765957447 0.22188449848 6 2883 795 |3, 3, 0, 0|105, 58, 2, 0|553, 1121, 19, 15|101, 757, 5, 18|7, 116, 0, 0
2 3 11 0.0243161094225 0.237082066869 4 3295 838 |3, 1, 0, 0|98, 49, 2, 0|589, 1188, 29, 77|109, 834, 8, 152|0, 112, 0, 44
2 2 11 0.00455927051672 0.22188449848 6 4252 533 |3, 3, 0, 0|105, 269, 2, 2|377, 2335, 14, 212|28, 656, 4, 121|0, 89, 0, 32
2 1 11 0.0227963525836 0.234042553191 5 2777 718 |3, 2, 0, 0|105, 59, 2, 0|514, 1033, 16, 26|75, 783, 3, 85|0, 53, 0, 18
3 10 11 0.0258358662614 0.240121580547 4 2776 819 |3, 1, 0, 0|99, 103, 2, 1|546, 1000, 17, 21|136, 708, 5, 13|9, 105, 2, 5
