Cutoff >1
N1 20000
MaxLen1 12
nHaps NHaps nSp single_nucleotide_pDNCs pDNC_recovered
2 10 189 0.016717325228 0.445288753799 0 10026 1081 |0 0 0 0|37 38 0 0|525 2466 35 124|328 3682 38 338|106 2028 12 269
2 9 189 0.0136778115502 0.439209726444 0 8882 1101 |0 0 0 0|37 38 0 0|464 2064 37 101|358 3269 51 309|133 1810 21 190
2 8 189 0.00607902735562 0.457446808511 0 10491 1155 |0 0 0 0|37 42 0 0|532 2726 49 141|341 3870 48 316|125 2009 23 232
2 7 189 0.0136778115502 0.455927051672 0 9856 1200 |0 0 0 0|37 40 0 1|532 2630 45 99|383 3461 50 279|130 1911 23 235
2 6 189 0.0136778115502 0.460486322188 0 9245 1180 |0 0 0 0|37 29 0 0|493 2397 48 122|398 3283 55 291|134 1696 15 247
2 5 189 0.0106382978723 0.451367781155 0 9414 1008 |0 0 0 0|37 37 0 0|467 2396 41 137|303 3417 36 320|103 1884 21 215
2 4 189 0.00759878419453 0.452887537994 0 10059 1371 |0 0 0 0|37 42 0 1|561 2342 34 127|485 3590 68 297|162 2066 24 223
2 3 189 0.0182370820669 0.448328267477 0 10461 1281 |0 0 0 0|37 36 0 1|547 2415 44 142|417 3827 63 331|146 2167 27 261
2 2 189 0.00607902735562 0.462006079027 0 9603 1042 |0 0 0 0|37 31 0 0|483 2414 37 103|337 3608 39 284|88 1902 21 219
2 1 189 0.00911854103343 0.451367781155 0 10562 1106 |0 0 0 0|37 43 0 1|491 2842 48 132|331 3917 37 291|145 1994 17 236
3 10 189 0.0151975683891 0.468085106383 0 9885 1177 |0 0 0 0|37 35 0 1|497 2486 45 120|398 3577 47 321|124 1920 29 248
3 9 189 0.00911854103343 0.463525835866 0 9551 1130 |0 0 0 0|37 40 0 0|475 2402 46 119|399 3445 46 283|112 1916 15 216
3 8 189 0.0182370820669 0.448328267477 0 9885 1285 |0 0 0 0|37 39 0 0|544 2374 39 144|452 3491 56 346|135 1970 22 236
3 7 189 0.0182370820669 0.448328267477 0 10374 1413 |0 0 0 0|37 35 0 1|592 2533 46 135|475 3643 69 352|166 2003 28 259
3 6 189 0.0182370820669 0.469604863222 0 8526 954 |0 0 0 0|37 43 0 1|423 2209 32 93|315 3062 38 270|95 1661 14 233
3 5 189 0.0136778115502 0.462006079027 0 9379 1163 |0 0 0 0|37 34 0 0|535 2146 32 120|377 3389 46 284|121 1998 15 245
3 4 189 0.016717325228 0.457446808511 0 9125 996 |0 0 0 0|37 39 0 0|446 2232 40 105|302 3321 46 299|106 1899 19 234
3 3 189 0.0182370820669 0.455927051672 0 9259 1122 |0 0 0 0|37 35 0 0|509 2305 37 133|366 3258 44 286|116 1886 13 234
3 2 189 0.016717325228 0.460486322188 0 8590 1090 |0 0 0 0|37 39 0 0|470 2208 42 97|372 3041 42 248|107 1655 20 212
3 1 189 0.016717325228 0.446808510638 0 9372 1125 |0 0 0 0|37 23 0 0|510 2211 45 110|363 3406 46 282|112 1989 12 226
4 10 189 0.0182370820669 0.457446808511 0 8256 1147 |0 0 0 0|37 28 0 0|519 1984 41 84|363 2976 47 265|115 1557 25 215
4 9 189 0.0273556231003 0.457446808511 0 10384 1809 |0 0 0 0|37 34 0 1|692 2152 58 113|650 3591 77 350|253 2103 42 231
4 8 189 0.0243161094225 0.451367781155 0 8964 1379 |0 0 0 0|37 31 0 0|575 2182 41 124|464 3092 58 295|176 1657 28 204
4 7 189 0.0182370820669 0.448328267477 0 9154 1162 |0 0 0 0|37 43 0 1|490 2261 33 105|413 3321 59 301|110 1741 20 219
4 6 189 0.0197568389058 0.457446808511 0 9081 1163 |0 0 0 0|37 41 0 1|513 2238 31 88|386 3256 61 303|106 1747 29 244
4 5 189 0.0227963525836 0.460486322188 0 9497 1099 |0 0 0 0|37 50 0 2|470 2603 26 128|369 3405 49 303|123 1686 25 221
4 4 189 0.0258358662614 0.451367781155 0 9254 1157 |0 0 0 0|37 32 0 1|496 2281 40 106|373 3348 49 338|138 1756 24 235
4 3 189 0.0182370820669 0.452887537994 0 9344 1032 |0 0 0 0|37 44 0 2|454 2399 46 123|339 3420 38 313|104 1801 14 210
4 2 189 0.0227963525836 0.465045592705 0 9368 1495 |0 0 0 0|37 23 0 1|635 2195 45 99|490 3322 63 276|207 1742 18 215
4 1 189 0.0151975683891 0.466565349544 0 10155 1602 |0 0 0 0|37 26 0 0|684 2307 54 95|527 3438 75 327|195 2115 30 245
5 10 189 0.016717325228 0.452887537994 0 9400 1182 |0 0 0 0|37 36 0 1|551 2441 43 116|360 3334 45 329|127 1716 19 245
5 9 189 0.0273556231003 0.454407294833 0 10317 1763 |0 0 0 0|37 31 0 0|715 2455 65 145|586 3502 82 344|232 1874 46 203
5 8 189 0.0273556231003 0.457446808511 0 9646 1327 |0 0 0 0|37 33 0 0|586 2449 40 138|458 3357 61 312|124 1792 21 238
5 7 189 0.0334346504559 0.484802431611 0 8917 1388 |0 0 0 0|37 33 0 0|609 2187 45 125|440 3032 49 301|184 1651 24 200
5 6 189 0.0182370820669 0.451367781155 0 9976 1382 |0 0 0 0|37 34 0 0|640 2382 49 118|431 3567 60 299|132 1972 33 222
5 5 189 0.0273556231003 0.463525835866 0 8812 1276 |0 0 0 0|37 40 0 1|530 2151 46 106|420 3136 61 249|146 1640 36 213
5 4 189 0.031914893617 0.478723404255 0 9507 1277 |0 0 0 0|37 42 0 1|562 2407 36 106|432 3342 59 321|131 1754 20 257
5 3 189 0.0243161094225 0.465045592705 0 9089 1359 |0 0 0 0|37 27 0 0|631 2249 53 115|425 3124 53 320|140 1682 20 213
5 2 189 0.0273556231003 0.45896656535 0 9900 1441 |0 0 0 0|37 31 0 1|608 2433 45 129|470 3491 76 343|178 1805 27 226
5 1 189 0.0197568389058 0.477203647416 0 9964 1409 |0 0 0 0|37 31 0 0|596 2200 42 131|505 3584 63 325|143 2022 23 262
6 10 189 0.0106382978723 0.463525835866 0 9630 1117 |0 0 0 0|37 46 0 2|464 2488 50 115|374 3452 44 311|134 1890 14 209
6 9 189 0.0303951367781 0.462006079027 0 8476 1314 |0 0 0 0|37 25 0 1|558 2023 45 85|435 3097 60 256|154 1481 25 194
6 8 189 0.0273556231003 0.451367781155 0 9837 1762 |0 0 0 0|37 26 0 0|712 2134 51 96|642 3428 83 319|206 1844 31 228
6 7 189 0.0227963525836 0.469604863222 0 9198 1322 |0 0 0 0|37 33 0 0|530 2263 36 120|486 3208 48 274|164 1762 21 216
6 6 189 0.0303951367781 0.465045592705 0 9647 1761 |0 0 0 0|37 32 0 0|689 2085 54 104|614 3228 80 297|246 1871 41 269
6 5 189 0.0258358662614 0.454407294833 0 9222 1393 |0 0 0 0|37 35 0 1|574 2255 40 97|475 3189 62 288|175 1739 30 225
6 4 189 0.0243161094225 0.465045592705 0 9355 1686 |0 0 0 0|37 33 0 1|669 2018 51 113|579 3125 92 274|222 1877 36 228
6 3 189 0.0243161094225 0.462006079027 0 9523 1475 |0 0 0 0|37 35 0 0|594 2449 43 120|465 3171 76 296|222 1754 38 223
6 2 189 0.0349544072948 0.463525835866 0 9874 1896 |0 0 0 0|37 26 0 0|728 1997 67 103|663 3392 90 303|272 1930 39 227
6 1 189 0.0243161094225 0.466565349544 0 9279 1291 |0 0 0 0|37 24 0 0|560 2448 42 130|413 3160 68 300|135 1715 36 211
7 10 189 0.0395136778116 0.469604863222 0 8896 1777 |0 0 0 0|37 30 0 1|721 1875 48 77|618 2921 72 261|240 1739 41 215
7 9 189 0.0273556231003 0.489361702128 0 8878 1547 |0 0 0 0|37 26 0 0|628 2045 47 96|539 3054 72 291|187 1604 37 215
7 8 189 0.0258358662614 0.457446808511 0 10230 1393 |0 0 0 0|37 40 0 1|559 2581 52 124|480 3607 51 351|187 1903 27 230
7 7 189 0.031914893617 0.462006079027 0 9435 1484 |0 0 0 0|37 35 0 2|590 2295 52 97|527 3275 56 295|191 1730 31 222
7 6 189 0.0288753799392 0.449848024316 0 8582 1551 |0 0 0 0|37 37 0 1|587 2074 43 109|548 2830 75 251|226 1532 35 197
7 5 189 0.0288753799392 0.492401215805 0 9039 1631 |0 0 0 0|37 32 0 0|693 1969 40 121|562 3075 68 300|196 1686 35 225
7 4 189 0.0303951367781 0.460486322188 0 8686 1817 |0 0 0 0|37 30 0 0|728 1876 52 97|631 2852 85 254|259 1569 25 191
7 3 189 0.0227963525836 0.465045592705 0 8695 1243 |0 0 0 0|37 43 0 1|530 2280 41 97|412 2972 47 316|160 1526 16 217
7 2 189 0.0395136778116 0.469604863222 0 8849 1448 |0 0 0 0|37 41 0 1|607 2091 37 102|496 3050 77 352|162 1547 32 217
7 1 189 0.031914893617 0.445288753799 0 9284 1604 |0 0 0 0|37 22 0 0|669 2105 54 110|518 3198 77 293|219 1729 30 223
8 10 189 0.0334346504559 0.460486322188 0 8934 1478 |0 0 0 0|37 33 0 1|597 2190 36 105|525 3072 62 299|196 1543 25 213
8 9 189 0.031914893617 0.469604863222 0 9470 2123 |0 0 0 0|37 21 0 0|845 1790 64 91|723 3115 128 299|283 1828 43 203
8 8 189 0.031914893617 0.489361702128 0 8970 2019 |0 0 0 0|37 22 0 0|745 1847 58 95|746 2848 89 278|298 1666 46 195
8 7 189 0.0243161094225 0.492401215805 0 9404 1416 |0 0 0 0|37 32 0 0|589 2334 52 131|465 3264 57 334|192 1689 24 204
8 6 189 0.031914893617 0.454407294833 0 8270 1427 |0 0 0 0|37 40 0 1|588 2127 41 110|490 2767 56 266|187 1344 28 188
8 5 189 0.0349544072948 0.457446808511 0 9192 1651 |0 0 0 0|37 31 0 0|688 2110 61 88|522 3156 70 298|238 1628 35 230
8 4 189 0.031914893617 0.477203647416 0 8237 1445 |0 0 0 0|37 23 0 0|585 1930 50 89|502 2834 56 272|189 1455 26 189
8 3 189 0.0349544072948 0.460486322188 0 8614 1563 |0 0 0 0|37 21 0 0|640 1876 56 89|533 2975 75 273|186 1604 36 213
8 2 189 0.0410334346505 0.457446808511 0 9362 1616 |0 0 0 0|37 31 0 1|616 2018 49 102|582 3230 82 289|215 1847 35 228
8 1 189 0.0395136778116 0.487841945289 0 7749 1674 |0 0 0 0|37 27 0 0|673 1672 46 98|611 2524 60 245|214 1326 33 183
9 10 189 0.0455927051672 0.4726443769 0 7974 1797 |0 0 0 0|37 20 0 0|748 1826 66 92|591 2479 88 245|231 1341 36 174
9 9 189 0.0349544072948 0.469604863222 0 9002 2125 |0 0 0 0|37 20 0 0|836 1848 55 96|764 2809 94 311|284 1586 55 207
9 8 189 0.0303951367781 0.469604863222 0 8738 1415 |0 0 0 0|37 35 0 1|569 2273 45 97|492 2958 55 252|183 1508 34 199
9 7 189 0.0349544072948 0.455927051672 0 9206 1600 |0 0 0 0|37 37 0 0|608 2166 57 107|596 3152 68 259|215 1671 19 214
9 6 189 0.0349544072948 0.463525835866 0 8329 1475 |0 0 0 0|37 31 0 0|622 2009 59 112|488 2849 61 285|183 1400 25 168
9 5 189 0.0334346504559 0.469604863222 0 7749 1393 |0 0 0 0|37 21 0 0|594 1626 44 71|463 2754 61 244|156 1433 38 207
9 4 189 0.0349544072948 0.496960486322 0 8644 1716 |0 0 0 0|37 32 0 1|670 1892 40 115|625 2829 68 292|244 1563 32 204
9 3 189 0.0349544072948 0.462006079027 0 8796 1719 |0 0 0 0|37 24 0 0|683 1745 60 108|581 3017 71 304|255 1659 32 220
9 2 189 0.0303951367781 0.487841945289 0 8991 1524 |0 0 0 0|37 27 0 0|597 2048 44 89|527 3146 64 269|233 1658 22 230
9 1 189 0.0395136778116 0.481762917933 0 9430 2140 |0 0 0 0|37 20 0 0|837 1843 61 101|747 3035 95 300|316 1761 47 230
10 10 189 0.0303951367781 0.501519756839 0 9273 1499 |0 0 0 0|37 21 0 0|597 2162 55 122|512 3245 64 292|209 1710 25 222
10 9 189 0.0334346504559 0.468085106383 0 8393 1382 |0 0 0 0|37 23 0 1|584 1934 44 101|455 2935 59 228|176 1590 27 199
10 8 189 0.0471124620061 0.496960486322 0 8066 1896 |0 0 0 0|37 30 0 1|682 1571 52 70|702 2516 84 248|285 1545 54 189
10 7 189 0.031914893617 0.48632218845 0 8357 1654 |0 0 0 0|37 21 0 0|678 1875 54 86|548 2807 81 244|220 1477 36 193
10 6 189 0.0379939209726 0.471124620061 0 8983 2187 |0 0 0 0|37 16 0 0|860 1645 67 89|774 2887 99 280|305 1648 45 231
10 5 189 0.0425531914894 0.454407294833 0 8235 1764 |0 0 0 0|37 35 0 1|666 1866 45 90|633 2650 87 272|265 1370 31 187
10 4 189 0.0395136778116 0.487841945289 0 8197 1644 |0 0 0 0|37 30 0 0|644 1971 60 116|575 2632 64 270|230 1321 34 213
10 3 189 0.0349544072948 0.465045592705 0 8841 2101 |0 0 0 0|37 23 0 0|841 1696 33 86|716 2781 106 235|316 1712 52 207
10 2 189 0.0364741641337 0.468085106383 0 7969 1573 |0 0 0 0|37 28 0 1|620 1818 46 91|555 2600 65 242|212 1427 38 189
10 1 189 0.0334346504559 0.471124620061 0 8508 1564 |0 0 0 0|37 29 0 0|650 1979 53 105|543 2960 87 258|162 1426 32 187
11 10 189 0.0379939209726 0.506079027356 0 9008 1684 |0 0 0 0|37 22 0 0|673 1922 55 110|577 3114 76 298|217 1645 49 213
11 9 189 0.0440729483283 0.471124620061 0 8536 1721 |0 0 0 0|37 31 0 0|630 1860 47 97|612 2727 86 284|277 1610 32 206
11 8 189 0.0440729483283 0.481762917933 0 8216 1936 |0 0 0 0|37 12 0 1|735 1763 65 82|701 2556 83 233|280 1423 35 210
11 7 189 0.0440729483283 0.5 0 7108 1479 |0 0 0 0|37 31 0 1|565 1542 42 52|533 2223 79 215|189 1364 34 201
11 6 189 0.0425531914894 0.471124620061 0 9037 1749 |0 0 0 0|37 29 0 2|666 2024 38 100|636 2961 67 297|264 1658 41 217
11 5 189 0.0349544072948 0.492401215805 0 8176 1495 |0 0 0 0|37 33 0 1|593 2004 54 92|461 2684 80 281|223 1409 47 177
11 4 189 0.0440729483283 0.478723404255 0 8700 2356 |0 0 0 0|37 20 0 0|862 1625 71 77|831 2538 112 277|392 1616 51 191
11 3 189 0.0349544072948 0.4726443769 0 8405 1997 |0 0 0 0|37 24 0 0|807 1618 73 83|667 2640 85 268|290 1609 38 166
11 2 189 0.0288753799392 0.468085106383 0 8458 1527 |0 0 0 0|37 31 0 0|649 2016 40 100|497 2844 50 247|227 1485 27 208
11 1 189 0.0395136778116 0.477203647416 0 8878 2109 |0 0 0 0|37 19 0 0|771 1594 56 81|807 2868 93 262|302 1742 43 203
12 10 189 0.0471124620061 0.481762917933 0 8097 1816 |0 0 0 0|37 21 0 0|712 1708 52 75|627 2590 78 259|272 1425 38 203
12 9 189 0.0531914893617 0.489361702128 0 7307 1906 |0 0 0 0|37 23 0 1|753 1522 47 86|669 2225 85 193|271 1197 44 154
12 8 189 0.0531914893617 0.45896656535 0 7472 1971 |0 0 0 0|37 19 0 1|742 1495 57 86|691 2221 90 226|323 1254 31 199
12 7 189 0.0425531914894 0.493920972644 0 9221 1679 |0 0 0 0|37 25 0 0|687 2123 48 123|590 3118 78 277|199 1660 40 216
12 6 189 0.0562310030395 0.469604863222 0 7422 2165 |0 0 0 0|37 13 0 0|836 1461 79 82|772 2110 89 226|309 1201 43 164
12 5 189 0.0471124620061 0.484802431611 0 8530 2364 |0 0 0 0|37 17 0 0|894 1693 64 89|834 2654 115 201|352 1346 68 166
12 4 189 0.0379939209726 0.481762917933 0 8013 1600 |0 0 0 0|37 25 0 0|703 1839 45 98|518 2656 65 262|201 1357 31 176
12 3 189 0.0334346504559 0.498480243161 0 8443 1849 |0 0 0 0|37 32 0 1|654 1721 58 80|672 2717 106 251|270 1591 52 201
12 2 189 0.0410334346505 0.480243161094 0 7996 1830 |0 0 0 0|37 26 0 1|702 1691 47 75|672 2612 71 220|267 1360 34 181
12 1 189 0.0379939209726 0.477203647416 0 8340 1616 |0 0 0 0|37 22 0 0|662 1762 47 81|542 2813 75 251|219 1593 34 202
13 10 189 0.0562310030395 0.493920972644 0 8260 2441 |0 0 0 0|37 15 0 0|853 1543 70 104|908 2328 101 272|399 1344 73 213
13 9 189 0.0349544072948 0.475683890578 0 8210 2053 |0 0 0 0|37 29 0 0|767 1736 55 87|748 2509 93 233|304 1385 49 178
13 8 189 0.0349544072948 0.48632218845 0 8122 1594 |0 0 0 0|37 30 0 1|615 1841 46 78|580 2631 72 235|210 1531 34 181
13 7 189 0.0501519756839 0.477203647416 0 7524 1848 |0 0 0 0|37 28 0 1|697 1699 54 74|688 2277 78 240|253 1201 41 156
13 6 189 0.0516717325228 0.463525835866 0 8066 1749 |0 0 0 0|37 24 0 1|647 1921 56 100|672 2524 71 228|238 1328 28 191
13 5 189 0.0471124620061 0.469604863222 0 7728 1730 |0 0 0 0|37 32 0 1|630 1794 52 105|611 2473 90 227|272 1206 38 160
13 4 189 0.0516717325228 0.483282674772 0 6984 2285 |0 0 0 0|37 19 0 0|837 1284 61 90|844 1861 102 186|348 1103 56 156
13 3 189 0.0531914893617 0.475683890578 0 7605 1826 |0 0 0 0|37 22 0 1|695 1663 57 103|645 2344 86 249|269 1208 37 189
