Cutoff >1
N1 20000
MaxLen1 12
nHaps NHaps nSp single_nucleotide_pDNCs pDNC_recovered
2 10 87 0.0395738203957 0.476407914764 0 15184 4420 |0, 0, 0, 0|52, 61, 1, 3|1865, 3350, 232, 512|1247, 3460, 453, 1233|323, 1304, 247, 841
2 9 87 0.0182648401826 0.464231354642 0 14376 2591 |0, 0, 0, 0|52, 131, 1, 6|1240, 3603, 168, 840|625, 3184, 254, 1806|147, 984, 104, 1231
2 8 87 0.0182648401826 0.467275494673 0 14170 2790 |0, 0, 0, 0|52, 133, 1, 3|1316, 3759, 159, 775|732, 3116, 273, 1621|154, 926, 103, 1047
2 7 87 0.0289193302892 0.470319634703 0 14466 3018 |0, 0, 0, 0|52, 149, 1, 4|1417, 3513, 189, 625|775, 3184, 267, 1641|156, 1119, 161, 1213
2 6 87 0.0152207001522 0.456621004566 0 15674 3126 |0, 0, 0, 0|52, 121, 1, 9|1406, 4122, 186, 650|834, 3913, 302, 1422|189, 1269, 156, 1042
2 5 87 0.0289193302892 0.477929984779 0 14873 3568 |0, 0, 0, 0|52, 178, 1, 9|1562, 3797, 239, 745|981, 3129, 345, 1436|216, 1002, 172, 1009
2 4 87 0.0106544901065 0.459665144597 0 15656 4227 |0, 0, 0, 0|52, 85, 1, 4|1897, 3977, 276, 556|1135, 3597, 425, 1255|237, 1139, 204, 816
2 3 87 0.0456621004566 0.468797564688 0 13854 3629 |0, 0, 0, 0|52, 172, 1, 10|1621, 3361, 178, 611|1030, 2863, 348, 1236|228, 1010, 171, 962
2 2 87 0.0243531202435 0.465753424658 0 15155 3577 |0, 0, 0, 0|52, 112, 1, 8|1602, 3763, 233, 651|993, 3488, 314, 1433|224, 1189, 158, 934
2 1 87 0.0487062404871 0.467275494673 0 14783 3666 |0, 0, 0, 0|52, 142, 1, 6|1653, 3680, 216, 551|977, 3309, 359, 1302|243, 1174, 165, 953
3 10 87 0.041095890411 0.473363774734 0 14187 4492 |0, 0, 0, 0|52, 118, 1, 1|1889, 3235, 268, 520|1244, 2837, 479, 1196|323, 941, 236, 847
