Cutoff >1
N1 20000
MaxLen1 12
nHaps NHaps nSp single_nucleotide_pDNCs pDNC_recovered
2 10 11 0.00607902735562 0.231003039514 34 1795 603 |24, 10, 0, 0|294, 458, 0, 0|267, 638, 0, 0|18, 81, 0, 0|0, 5, 0, 0
2 9 11 0.00607902735562 0.23556231003 34 1492 576 |24, 10, 0, 0|325, 251, 0, 0|221, 587, 0, 0|3, 60, 0, 0|3, 8, 0, 0
2 8 11 0.0379939209726 0.246200607903 30 1450 639 |24, 6, 0, 0|313, 177, 0, 0|287, 553, 0, 0|14, 69, 0, 0|1, 6, 0, 0
2 7 11 0.0395136778116 0.237082066869 30 1662 688 |24, 6, 0, 0|292, 194, 0, 0|355, 681, 0, 0|17, 87, 0, 0|0, 6, 0, 0
2 6 11 0.00911854103343 0.23556231003 34 2200 616 |24, 10, 0, 0|328, 401, 0, 12|253, 864, 0, 182|11, 86, 0, 6|0, 10, 0, 13
2 5 11 0.0425531914894 0.246200607903 30 1591 690 |24, 6, 0, 0|293, 197, 0, 0|353, 540, 0, 0|16, 146, 0, 0|4, 12, 0, 0
2 4 11 0.0379939209726 0.240121580547 29 1410 545 |24, 5, 0, 0|288, 238, 0, 6|196, 402, 0, 42|36, 129, 0, 24|1, 15, 0, 4
2 3 11 0.0379939209726 0.241641337386 28 1684 590 |24, 4, 0, 0|355, 258, 0, 6|194, 586, 0, 80|17, 116, 0, 28|0, 11, 0, 5
2 2 11 0.0349544072948 0.234042553191 28 1584 626 |24, 4, 0, 0|343, 209, 0, 0|244, 648, 0, 0|14, 89, 0, 0|1, 8, 0, 0
2 1 11 0.0395136778116 0.238601823708 30 1761 698 |24, 6, 0, 0|290, 190, 0, 0|373, 797, 0, 0|11, 68, 0, 0|0, 2, 0, 0
3 10 11 0.0379939209726 0.243161094225 30 1658 798 |24, 6, 0, 0|288, 170, 0, 0|464, 621, 0, 0|21, 61, 0, 0|1, 2, 0, 0
3 9 11 0.0440729483283 0.246200607903 26 1920 979 |24, 2, 0, 0|364, 131, 0, 0|543, 681, 0, 0|45, 119, 0, 0|3, 8, 0, 0
3 8 11 0.0410334346505 0.247720364742 30 1625 670 |24, 6, 0, 0|267, 131, 0, 2|351, 660, 1, 26|26, 120, 0, 1|1, 7, 0, 2
3 7 11 0.0410334346505 0.240121580547 30 1758 790 |24, 6, 0, 0|300, 213, 0, 0|428, 576, 0, 0|35, 155, 0, 0|3, 18, 0, 0
3 6 11 0.00455927051672 0.231003039514 35 1773 633 |24, 11, 0, 0|293, 392, 0, 0|291, 667, 0, 0|25, 64, 0, 0|0, 6, 0, 0
3 5 11 0.0410334346505 0.246200607903 29 1645 635 |24, 5, 0, 0|323, 225, 0, 3|267, 546, 0, 33|20, 186, 0, 5|1, 3, 0, 4
3 4 11 0.0349544072948 0.237082066869 29 1696 743 |24, 5, 0, 0|324, 212, 0, 0|362, 533, 0, 0|29, 177, 0, 0|4, 26, 0, 0
3 3 11 0.0395136778116 0.252279635258 29 1500 684 |24, 5, 0, 0|326, 195, 0, 0|318, 530, 0, 0|16, 74, 0, 0|0, 12, 0, 0
3 2 11 0.0395136778116 0.23556231003 31 1767 677 |24, 7, 0, 0|234, 156, 0, 0|395, 728, 0, 0|23, 185, 0, 0|1, 14, 0, 0
3 1 11 0.0379939209726 0.249240121581 27 1512 859 |24, 3, 0, 0|361, 152, 0, 0|412, 416, 0, 0|59, 76, 0, 0|3, 6, 0, 0
4 10 11 0.0410334346505 0.247720364742 28 1832 837 |24, 4, 0, 0|324, 210, 0, 2|427, 571, 0, 14|58, 167, 0, 4|4, 22, 0, 1
4 9 11 0.0349544072948 0.247720364742 29 1903 809 |24, 5, 0, 0|326, 210, 0, 0|436, 771, 0, 0|23, 101, 0, 0|0, 7, 0, 0
4 8 11 0.0410334346505 0.252279635258 26 1789 849 |24, 2, 0, 0|393, 154, 0, 0|408, 651, 0, 0|23, 122, 0, 0|1, 11, 0, 0
4 7 11 0.0440729483283 0.247720364742 26 1763 933 |24, 2, 0, 0|366, 134, 0, 1|507, 573, 0, 13|34, 95, 0, 4|2, 8, 0, 0
4 6 11 0.0395136778116 0.249240121581 26 1887 1053 |24, 2, 0, 0|363, 101, 0, 0|619, 610, 0, 0|44, 110, 0, 0|3, 11, 0, 0
4 5 11 0.0425531914894 0.252279635258 29 1981 971 |24, 5, 0, 0|333, 152, 0, 0|572, 691, 0, 0|40, 144, 0, 0|2, 18, 0, 0
4 4 11 0.0440729483283 0.249240121581 29 1799 838 |24, 5, 0, 0|333, 185, 0, 0|451, 605, 0, 0|28, 138, 0, 0|2, 28, 0, 0
4 3 11 0.0425531914894 0.250759878419 27 1653 742 |24, 3, 0, 0|355, 169, 0, 0|325, 633, 0, 0|35, 95, 0, 0|3, 11, 0, 0
4 2 11 0.0395136778116 0.246200607903 28 1692 1037 |24, 4, 0, 0|330, 141, 0, 0|613, 438, 0, 0|64, 62, 0, 0|6, 10, 0, 0
4 1 11 0.0395136778116 0.253799392097 27 1705 895 |24, 3, 0, 0|362, 167, 0, 0|478, 554, 0, 1|28, 76, 0, 1|3, 8, 0, 0
5 10 11 0.0455927051672 0.256838905775 27 2284 1047 |24, 3, 0, 0|422, 210, 0, 4|537, 698, 0, 64|62, 199, 0, 46|2, 9, 0, 4
5 9 11 0.0455927051672 0.256838905775 28 1929 896 |24, 4, 0, 0|354, 213, 0, 0|475, 664, 0, 0|37, 142, 0, 0|6, 10, 0, 0
5 8 11 0.0425531914894 0.247720364742 27 2371 1111 |24, 3, 0, 0|420, 206, 0, 0|613, 926, 0, 0|46, 112, 0, 0|8, 13, 0, 0
5 7 11 0.048632218845 0.261398176292 29 2485 1111 |24, 5, 0, 0|351, 145, 0, 0|675, 1094, 0, 0|57, 117, 0, 0|4, 13, 0, 0
5 6 11 0.0471124620061 0.253799392097 26 1882 979 |24, 2, 0, 0|386, 160, 0, 0|509, 545, 0, 0|57, 190, 0, 0|3, 6, 0, 0
5 5 11 0.0455927051672 0.259878419453 27 1897 930 |24, 3, 0, 0|356, 157, 0, 0|514, 733, 0, 0|34, 71, 0, 0|2, 3, 0, 0
5 4 11 0.0455927051672 0.247720364742 29 1953 1066 |24, 5, 0, 0|352, 148, 0, 0|616, 554, 0, 0|70, 163, 0, 0|4, 17, 0, 0
5 3 11 0.0440729483283 0.253799392097 27 2102 873 |24, 3, 0, 0|389, 204, 0, 16|423, 615, 0, 190|36, 138, 0, 28|1, 16, 0, 19
5 2 11 0.0440729483283 0.255319148936 28 2625 1041 |24, 4, 0, 0|387, 172, 0, 12|608, 948, 0, 284|21, 117, 0, 4|1, 22, 0, 21
5 1 11 0.0455927051672 0.255319148936 27 2017 1039 |24, 3, 0, 0|389, 175, 0, 0|558, 639, 0, 0|55, 125, 0, 0|13, 36, 0, 0
6 10 11 0.0425531914894 0.258358662614 26 2116 1424 |24, 2, 0, 0|385, 70, 0, 0|877, 518, 0, 0|125, 82, 0, 0|13, 20, 0, 0
6 9 11 0.0440729483283 0.256838905775 27 2241 1105 |24, 3, 0, 0|387, 170, 0, 0|622, 772, 2, 1|64, 177, 0, 1|6, 12, 0, 0
