Cutoff >1
N1 20000
MaxLen1 12
nHaps NHaps nSp single_nucleotide_pDNCs pDNC_recovered
2 10 87 0.0593607305936 0.514459665145 0 11266 6929 |0, 0, 0, 0|117, 24, 11, 0|2630, 1259, 372, 263|2047, 1171, 796, 715|560, 380, 396, 525
2 9 87 0.013698630137 0.494672754947 0 13254 3974 |0, 0, 0, 0|115, 92, 11, 52|1640, 2971, 256, 783|1069, 2520, 384, 1287|296, 773, 203, 802
2 8 87 0.00304414003044 0.497716894977 0 13420 4147 |0, 0, 0, 0|116, 96, 11, 59|1715, 2856, 234, 827|1155, 2551, 417, 1273|280, 846, 219, 765
2 7 87 0.013698630137 0.505327245053 0 12582 4197 |0, 0, 0, 0|117, 134, 11, 7|1810, 2920, 230, 596|1116, 2134, 408, 1259|279, 579, 226, 756
2 6 87 0.0441400304414 0.487062404871 0 11068 5974 |0, 0, 0, 0|116, 28, 11, 6|2376, 1573, 305, 276|1698, 1490, 645, 661|471, 562, 352, 498
2 5 87 0.0487062404871 0.497716894977 0 11395 6454 |0, 0, 0, 0|117, 39, 11, 0|2456, 1552, 343, 259|1850, 1570, 695, 549|526, 550, 456, 422
2 4 87 0.0502283105023 0.487062404871 0 11645 6368 |0, 0, 0, 0|117, 27, 11, 2|2503, 1430, 336, 383|1803, 1301, 704, 1056|536, 407, 358, 671
2 3 87 0.0593607305936 0.482496194825 0 11272 6716 |0, 0, 0, 0|117, 28, 10, 6|2610, 1298, 348, 283|1911, 1228, 782, 780|517, 398, 421, 535
2 2 87 0.0395738203957 0.499238964992 0 11321 5860 |0, 0, 0, 0|115, 23, 11, 0|2356, 1498, 308, 420|1709, 1448, 566, 948|454, 534, 341, 590
2 1 87 0.0502283105023 0.497716894977 0 11988 6040 |0, 0, 0, 0|117, 26, 11, 1|2356, 1708, 314, 418|1772, 1535, 607, 1015|507, 527, 356, 718
3 10 87 0.0502283105023 0.51598173516 0 10895 6425 |0, 0, 0, 0|117, 16, 11, 0|2492, 1357, 365, 197|1799, 1398, 687, 590|552, 452, 402, 460
3 9 87 0.0441400304414 0.512937595129 0 10421 6740 |0, 0, 0, 0|117, 14, 11, 0|2442, 1097, 372, 162|2018, 1182, 700, 458|615, 396, 465, 372
3 8 87 0.0502283105023 0.506849315068 0 10280 6990 |0, 0, 0, 0|116, 9, 11, 1|2607, 976, 359, 144|2090, 986, 752, 445|602, 369, 453, 360
3 7 87 0.0471841704718 0.496194824962 0 10540 6696 |0, 0, 0, 0|117, 20, 10, 0|2477, 1077, 396, 150|2020, 1242, 744, 521|555, 459, 377, 375
3 6 87 0.0517503805175 0.505327245053 0 10260 6344 |0, 0, 0, 0|116, 12, 11, 0|2547, 1137, 329, 135|1883, 1348, 616, 460|478, 441, 364, 383
3 5 87 0.0608828006088 0.511415525114 0 10579 7450 |0, 0, 0, 0|117, 9, 11, 0|2757, 887, 364, 157|2240, 944, 839, 487|657, 294, 465, 351
3 4 87 0.0502283105023 0.502283105023 0 10851 6988 |0, 0, 0, 0|117, 9, 11, 0|2664, 1105, 394, 206|2069, 1226, 727, 511|597, 425, 409, 381
3 3 87 0.0608828006088 0.491628614916 0 10517 7255 |0, 0, 0, 0|117, 15, 10, 0|2702, 947, 391, 148|2084, 1009, 837, 467|631, 326, 483, 350
3 2 87 0.0517503805175 0.514459665145 0 10692 6790 |0, 0, 0, 0|116, 11, 11, 0|2557, 1160, 355, 139|2063, 1254, 693, 455|550, 494, 445, 389
3 1 87 0.0517503805175 0.505327245053 0 10912 6685 |0, 0, 0, 0|117, 15, 11, 0|2555, 1262, 341, 152|1966, 1345, 738, 545|543, 524, 414, 384
4 10 87 0.0517503805175 0.528158295282 0 10146 7728 |0, 0, 0, 0|116, 8, 11, 0|2879, 709, 373, 116|2249, 725, 903, 341|673, 284, 524, 235
4 9 87 0.0547945205479 0.525114155251 0 10366 7474 |0, 0, 0, 0|117, 8, 11, 0|2648, 889, 370, 101|2239, 902, 841, 374|671, 319, 577, 299
4 8 87 0.0547945205479 0.508371385084 0 10118 8000 |0, 0, 0, 0|117, 7, 11, 0|2961, 581, 419, 146|2275, 598, 902, 313|755, 226, 560, 247
4 7 87 0.0517503805175 0.517503805175 0 9779 7640 |0, 0, 0, 0|116, 8, 11, 0|2716, 606, 389, 90|2309, 653, 884, 308|663, 233, 552, 241
4 6 87 0.0608828006088 0.523592085236 0 10045 7854 |0, 0, 0, 0|117, 6, 11, 0|2833, 641, 402, 80|2360, 740, 872, 271|695, 223, 564, 230
4 5 87 0.0547945205479 0.522070015221 0 10074 7412 |0, 0, 0, 0|117, 8, 10, 0|2690, 781, 375, 143|2178, 840, 844, 291|675, 320, 523, 279
4 4 87 0.0578386605784 0.523592085236 0 9988 7527 |0, 0, 0, 0|116, 9, 11, 0|2691, 724, 411, 87|2269, 838, 834, 290|685, 260, 510, 253
4 3 87 0.0456621004566 0.531202435312 0 10100 7034 |0, 0, 0, 0|116, 12, 11, 0|2595, 892, 358, 142|2113, 933, 768, 404|590, 364, 483, 319
4 2 87 0.0608828006088 0.534246575342 0 9978 7674 |0, 0, 0, 0|117, 10, 11, 0|2777, 718, 375, 123|2291, 691, 859, 280|701, 237, 543, 245
4 1 87 0.0547945205479 0.534246575342 0 10119 7624 |0, 0, 0, 0|117, 4, 11, 0|2737, 656, 425, 87|2226, 862, 887, 317|678, 301, 543, 268
5 10 87 0.062404870624 0.535768645358 0 9916 8272 |0, 0, 0, 0|116, 3, 11, 0|2890, 473, 414, 64|2482, 497, 981, 222|756, 195, 622, 190
5 9 87 0.0639269406393 0.544901065449 0 9540 8846 |0, 0, 0, 0|116, 1, 11, 0|3121, 172, 413, 53|2668, 183, 1018, 117|860, 79, 639, 89
5 8 87 0.0563165905632 0.532724505327 0 9767 7478 |0, 0, 0, 0|117, 4, 11, 0|2725, 643, 382, 70|2172, 779, 884, 284|665, 284, 522, 225
5 7 87 0.0578386605784 0.544901065449 0 10178 7863 |0, 0, 0, 0|117, 4, 9, 0|2888, 644, 363, 77|2307, 706, 941, 293|698, 306, 540, 285
5 6 87 0.0547945205479 0.543378995434 0 9700 8046 |0, 0, 0, 0|116, 7, 11, 0|2831, 458, 425, 79|2440, 479, 961, 240|695, 191, 567, 200
5 5 87 0.0639269406393 0.543378995434 0 9834 8375 |0, 0, 0, 0|117, 3, 11, 0|2966, 455, 390, 85|2529, 424, 914, 202|847, 143, 601, 147
5 4 87 0.0471841704718 0.531202435312 0 9871 7031 |0, 0, 0, 0|116, 14, 11, 0|2591, 828, 364, 146|2132, 865, 785, 364|573, 311, 459, 312
5 3 87 0.0639269406393 0.543378995434 0 9518 8014 |0, 0, 0, 0|117, 6, 11, 0|2859, 422, 405, 110|2442, 442, 913, 233|730, 145, 537, 146
5 2 87 0.0532724505327 0.537290715373 0 9873 7551 |0, 0, 0, 0|117, 8, 11, 0|2732, 656, 412, 127|2213, 689, 852, 351|682, 237, 532, 254
5 1 87 0.0547945205479 0.532724505327 0 9995 7863 |0, 0, 0, 0|117, 9, 11, 0|2836, 604, 412, 116|2303, 626, 907, 305|727, 245, 550, 227
6 10 87 0.0654490106545 0.541856925419 0 9374 8690 |0, 0, 0, 0|117, 3, 11, 0|3009, 161, 459, 30|2625, 225, 1002, 99|812, 93, 655, 73
6 9 87 0.0669710806697 0.557077625571 0 9119 8648 |0, 0, 0, 0|116, 3, 11, 0|3014, 146, 402, 50|2600, 107, 1027, 80|765, 35, 713, 50
6 8 87 0.0654490106545 0.55403348554 0 9538 8907 |0, 0, 0, 0|117, 1, 11, 0|3094, 160, 408, 20|2637, 202, 1073, 88|870, 80, 697, 80
6 7 87 0.0563165905632 0.547945205479 0 9291 8425 |0, 0, 0, 0|116, 4, 11, 0|2978, 234, 400, 36|2516, 244, 932, 143|830, 89, 642, 116
6 6 87 0.0563165905632 0.555555555556 0 9082 7952 |0, 0, 0, 0|113, 6, 11, 0|2765, 332, 378, 58|2389, 342, 936, 158|773, 104, 587, 130
6 5 87 0.0669710806697 0.560121765601 0 9641 9279 |0, 0, 0, 0|117, 0, 11, 0|3200, 91, 431, 19|2780, 90, 1110, 58|890, 43, 740, 61
6 4 87 0.0654490106545 0.552511415525 0 9876 9049 |0, 0, 0, 0|117, 6, 11, 0|3170, 274, 426, 60|2771, 234, 1045, 91|853, 91, 656, 71
6 3 87 0.0654490106545 0.55403348554 0 9208 8777 |0, 0, 0, 0|116, 2, 11, 0|2999, 124, 422, 31|2677, 109, 1040, 70|832, 39, 680, 56
6 2 87 0.0639269406393 0.544901065449 0 9704 8819 |0, 0, 0, 0|116, 0, 11, 0|3038, 262, 382, 28|2669, 304, 1089, 107|814, 108, 700, 76
