Cutoff >1
N1 20000
MaxLen1 12
nHaps NHaps nSp single_nucleotide_pDNCs pDNC_recovered
2 10 87 0.0121765601218 0.494672754947 0 3053 1618 |0, 0, 0, 0|3, 2, 2, 0|387, 268, 49, 77|615, 490, 129, 164|317, 270, 116, 164
2 9 87 0.00456621004566 0.493150684932 0 3372 1454 |0, 0, 0, 0|3, 3, 2, 0|357, 406, 41, 98|556, 670, 107, 210|278, 361, 110, 170
2 8 87 0.013698630137 0.500761035008 0 2854 1539 |0, 0, 0, 0|3, 4, 2, 0|381, 270, 61, 82|594, 422, 108, 173|292, 222, 98, 142
2 7 87 0.0152207001522 0.505327245053 0 2954 1460 |0, 0, 0, 0|3, 4, 2, 0|368, 329, 43, 45|548, 537, 125, 149|278, 293, 93, 137
2 6 87 0.0167427701674 0.494672754947 0 3181 1437 |0, 0, 0, 0|3, 5, 2, 0|341, 355, 39, 106|586, 547, 104, 248|262, 261, 100, 222
2 5 87 0.0152207001522 0.485540334855 0 2714 1657 |0, 0, 0, 0|3, 1, 2, 0|394, 243, 49, 17|662, 413, 102, 71|329, 208, 116, 104
2 4 87 0.00913242009132 0.512937595129 0 2681 1557 |0, 0, 0, 0|3, 2, 2, 0|378, 209, 34, 65|636, 368, 107, 154|291, 228, 106, 98
2 3 87 0.0167427701674 0.490106544901 0 2931 1625 |0, 0, 0, 0|3, 1, 2, 0|401, 279, 47, 41|662, 455, 109, 129|298, 260, 103, 141
2 2 87 0.0152207001522 0.465753424658 0 2813 1817 |0, 0, 0, 0|3, 4, 2, 0|430, 200, 50, 24|713, 362, 116, 57|330, 261, 173, 88
2 1 87 0.00304414003044 0.48097412481 0 3404 1373 |0, 0, 0, 0|3, 1, 2, 0|343, 409, 40, 104|561, 737, 105, 204|228, 392, 91, 184
3 10 87 0.013698630137 0.499238964992 0 3074 1737 |0, 0, 0, 0|3, 2, 2, 0|408, 240, 51, 96|692, 449, 112, 167|342, 238, 127, 145
3 9 87 0.0152207001522 0.526636225266 0 2777 1740 |0, 0, 0, 0|3, 2, 2, 0|414, 215, 48, 34|677, 366, 107, 97|356, 225, 133, 98
3 8 87 0.0121765601218 0.502283105023 0 2713 1641 |0, 0, 0, 0|3, 2, 2, 0|402, 226, 46, 26|653, 387, 110, 128|293, 219, 132, 84
3 7 87 0.0167427701674 0.497716894977 0 2698 1658 |0, 0, 0, 0|3, 2, 2, 0|401, 225, 42, 27|629, 384, 88, 98|351, 196, 142, 108
3 6 87 0.0182648401826 0.514459665145 0 2531 1753 |0, 0, 0, 0|3, 0, 2, 0|396, 150, 45, 11|682, 301, 109, 54|370, 181, 146, 81
3 5 87 0.0197869101979 0.522070015221 0 2659 1654 |0, 0, 0, 0|3, 2, 2, 0|383, 252, 56, 26|623, 333, 108, 99|353, 200, 126, 93
3 4 87 0.00608828006088 0.508371385084 0 3032 1496 |0, 0, 0, 0|3, 1, 2, 0|373, 346, 44, 72|567, 573, 110, 150|281, 264, 116, 130
3 3 87 0.013698630137 0.51598173516 0 2775 1644 |0, 0, 0, 0|3, 2, 2, 0|408, 204, 34, 79|658, 395, 125, 151|302, 203, 112, 97
3 2 87 0.0213089802131 0.499238964992 0 3129 1891 |0, 0, 0, 0|3, 0, 2, 0|484, 164, 53, 136|741, 317, 131, 243|353, 204, 124, 174
3 1 87 0.0167427701674 0.500761035008 0 3230 1876 |0, 0, 0, 0|3, 0, 2, 0|453, 243, 46, 75|732, 381, 109, 191|400, 242, 131, 222
