Cutoff >1
N1 20000
MaxLen1 12
nHaps NHaps nSp single_nucleotide_pDNCs pDNC_recovered
2 10 11 0.0151975683891 0.243161094225 3 971 112 |2, 1, 0, 0|0, 17, 0, 0|57, 172, 0, 9|29, 399, 7, 53|10, 179, 7, 29
2 9 11 0.00759878419453 0.244680851064 4 1109 80 |2, 2, 0, 0|0, 86, 0, 0|57, 424, 0, 6|14, 372, 0, 0|7, 139, 0, 0
2 8 11 0.0212765957447 0.247720364742 3 650 113 |2, 1, 0, 0|0, 1, 0, 0|60, 124, 0, 0|33, 285, 0, 1|18, 124, 0, 1
2 7 11 0.016717325228 0.234042553191 3 1000 103 |2, 1, 0, 0|0, 17, 0, 0|57, 141, 0, 0|26, 475, 0, 0|18, 263, 0, 0
2 6 11 0.0197568389058 0.234042553191 3 1292 88 |2, 1, 0, 0|0, 7, 0, 0|57, 345, 0, 0|17, 591, 0, 5|12, 255, 0, 0
2 5 11 0.00759878419453 0.244680851064 4 1033 98 |2, 2, 0, 0|0, 82, 0, 1|54, 232, 0, 15|34, 381, 5, 73|2, 110, 1, 39
2 4 11 0.0182370820669 0.23556231003 3 946 95 |2, 1, 0, 0|0, 0, 0, 0|57, 114, 0, 0|25, 475, 0, 0|11, 261, 0, 0
2 3 11 0.00607902735562 0.238601823708 3 1228 94 |2, 1, 0, 0|0, 77, 0, 0|64, 421, 0, 6|22, 444, 0, 1|6, 184, 0, 0
2 2 11 0.0197568389058 0.23556231003 3 841 94 |2, 1, 0, 0|0, 19, 0, 0|57, 103, 0, 0|30, 425, 0, 1|5, 197, 0, 1
2 1 11 0.00607902735562 0.23556231003 3 1111 82 |2, 1, 0, 0|0, 126, 0, 1|60, 188, 0, 0|11, 545, 0, 1|9, 167, 0, 0
3 10 11 0.0121580547112 0.249240121581 2 566 99 |2, 0, 0, 0|0, 0, 0, 0|56, 107, 0, 0|34, 234, 0, 0|7, 126, 0, 0
3 9 11 0.0197568389058 0.240121580547 3 530 118 |2, 1, 0, 0|0, 0, 0, 0|63, 64, 0, 0|43, 270, 0, 0|10, 74, 0, 3
3 8 11 0.0212765957447 0.243161094225 2 803 97 |2, 0, 0, 0|0, 0, 0, 0|59, 138, 0, 0|26, 359, 0, 0|10, 209, 0, 0
3 7 11 0.016717325228 0.247720364742 3 660 82 |2, 1, 0, 0|0, 19, 0, 0|57, 175, 0, 0|15, 291, 0, 0|8, 89, 0, 3
3 6 11 0.0151975683891 0.246200607903 3 493 74 |2, 1, 0, 0|0, 0, 0, 0|58, 109, 0, 0|11, 235, 0, 0|3, 64, 0, 10
3 5 11 0.0212765957447 0.241641337386 3 402 140 |2, 1, 0, 0|0, 0, 0, 0|60, 31, 0, 0|57, 146, 0, 0|21, 84, 0, 0
3 4 11 0.0121580547112 0.243161094225 3 776 85 |2, 1, 0, 0|0, 17, 0, 0|56, 166, 0, 0|20, 361, 0, 0|7, 146, 0, 0
3 3 11 0.0197568389058 0.252279635258 3 611 118 |2, 1, 0, 0|0, 17, 0, 0|57, 139, 0, 0|37, 200, 4, 7|12, 102, 6, 27
3 2 11 0.0197568389058 0.253799392097 2 625 79 |2, 0, 0, 0|0, 1, 0, 0|57, 122, 0, 0|16, 262, 0, 1|4, 160, 0, 0
3 1 11 0.0182370820669 0.246200607903 3 279 111 |2, 1, 0, 0|0, 2, 0, 0|58, 27, 0, 5|39, 82, 2, 9|7, 25, 3, 17
4 10 11 0.0212765957447 0.255319148936 3 548 112 |2, 1, 0, 0|0, 1, 0, 0|81, 126, 0, 0|18, 228, 0, 0|11, 80, 0, 0
4 9 11 0.0197568389058 0.252279635258 3 381 98 |2, 1, 0, 0|0, 0, 0, 0|79, 112, 0, 0|11, 111, 2, 8|3, 29, 1, 22
4 8 11 0.0197568389058 0.249240121581 3 689 128 |2, 1, 0, 0|0, 19, 0, 0|83, 110, 0, 0|33, 316, 0, 0|10, 115, 0, 0
