Cutoff >1
N1 20000
MaxLen1 12
nHaps NHaps nSp single_nucleotide_pDNCs pDNC_recovered
2 10 87 0.0289193302892 0.453576864536 0 4654 8 |0, 0, 0, 0|0, 16, 0, 0|1, 782, 0, 665|2, 792, 3, 1167|2, 348, 0, 876
2 9 87 0.0121765601218 0.464231354642 0 3478 6 |0, 0, 0, 0|0, 44, 0, 10|1, 1107, 0, 275|3, 897, 1, 534|0, 287, 1, 318
2 8 87 0.0350076103501 0.455098934551 0 1280 15 |0, 0, 0, 0|0, 1, 0, 0|4, 273, 0, 45|3, 289, 1, 240|6, 157, 1, 260
2 7 87 0.0289193302892 0.468797564688 0 1067 6 |0, 0, 0, 0|0, 1, 0, 0|2, 128, 0, 54|3, 254, 0, 205|1, 192, 0, 227
2 6 87 0.0334855403349 0.461187214612 0 1479 7 |0, 0, 0, 0|0, 3, 0, 0|1, 201, 0, 95|3, 329, 1, 273|2, 200, 0, 371
2 5 87 0.00608828006088 0.471841704718 0 4874 6 |0, 0, 0, 0|0, 35, 0, 3|2, 1456, 0, 808|3, 885, 0, 886|0, 280, 1, 515
2 4 87 0.027397260274 0.455098934551 0 1943 5 |0, 0, 0, 0|0, 0, 0, 0|2, 196, 0, 81|3, 380, 0, 506|0, 225, 0, 550
2 3 87 0.0365296803653 0.461187214612 0 526 11 |0, 0, 0, 0|0, 1, 0, 0|4, 127, 0, 9|2, 169, 0, 55|3, 84, 2, 70
2 2 87 0.0334855403349 0.455098934551 0 602 11 |0, 0, 0, 0|0, 1, 0, 0|2, 140, 0, 16|7, 199, 1, 53|1, 117, 0, 65
2 1 87 0.0106544901065 0.462709284627 0 3782 11 |0, 0, 0, 0|0, 31, 0, 3|2, 1220, 0, 262|6, 1006, 0, 500|3, 388, 0, 361
3 10 87 0.0167427701674 0.461187214612 0 5791 7 |0, 0, 0, 0|0, 64, 0, 9|1, 1417, 0, 915|3, 1136, 1, 1163|1, 379, 1, 701
3 9 87 0.0304414003044 0.458143074581 0 2250 13 |0, 0, 0, 0|0, 4, 0, 0|2, 290, 0, 364|6, 260, 0, 684|5, 155, 0, 480
3 8 87 0.0106544901065 0.479452054795 0 7012 7 |0, 0, 0, 0|0, 45, 0, 3|3, 1656, 0, 709|2, 1685, 2, 1386|0, 564, 0, 957
3 7 87 0.0121765601218 0.471841704718 0 5794 13 |0, 0, 0, 0|0, 46, 0, 9|3, 1471, 0, 940|10, 1004, 0, 1235|0, 325, 0, 751
3 6 87 0.027397260274 0.465753424658 0 4144 7 |0, 0, 0, 0|0, 13, 0, 0|1, 782, 0, 645|4, 617, 1, 1127|1, 257, 0, 696
3 5 87 0.041095890411 0.470319634703 0 368 14 |0, 0, 0, 0|0, 0, 0, 0|2, 30, 0, 7|7, 153, 1, 23|4, 105, 0, 36
3 4 87 0.0380517503805 0.465753424658 0 705 16 |0, 0, 0, 0|0, 1, 0, 0|3, 87, 0, 11|8, 286, 1, 50|3, 171, 1, 83
3 3 87 0.0350076103501 0.465753424658 0 360 18 |0, 0, 0, 0|0, 2, 0, 0|4, 156, 0, 16|6, 100, 0, 12|6, 46, 2, 10
3 2 87 0.0258751902588 0.461187214612 0 436 20 |0, 0, 0, 0|0, 2, 0, 0|3, 167, 0, 19|7, 138, 2, 15|6, 55, 2, 20
