Cutoff >1
N1 20000
MaxLen1 12
nHaps NHaps nSp single_nucleotide_pDNCs pDNC_recovered
2 10 189 0.00607902735562 0.452887537994 1 11644 3256 |0, 1, 0, 0|27, 109, 0, 1|1490, 3115, 23, 39|1173, 3216, 52, 142|442, 1579, 49, 186
2 9 189 0.00911854103343 0.448328267477 1 10493 3044 |0, 1, 0, 0|27, 140, 0, 1|1363, 2749, 16, 65|1097, 2653, 65, 185|441, 1427, 35, 228
2 8 189 0.00607902735562 0.449848024316 1 10090 2608 |0, 1, 0, 0|27, 135, 0, 1|1277, 2842, 17, 50|885, 2776, 36, 150|335, 1365, 31, 162
2 7 189 0.00759878419453 0.460486322188 1 10256 2821 |0, 1, 0, 0|27, 108, 0, 1|1358, 2494, 20, 43|989, 2908, 39, 223|354, 1411, 34, 246
2 6 189 0.00607902735562 0.457446808511 1 10485 3062 |0, 1, 0, 0|27, 106, 0, 1|1443, 2600, 22, 49|1081, 2829, 64, 189|385, 1447, 40, 201
2 5 189 0.00759878419453 0.469604863222 1 10517 2828 |0, 1, 0, 0|27, 139, 0, 1|1364, 2890, 23, 59|981, 2777, 50, 170|357, 1437, 26, 215
2 4 189 0.00911854103343 0.457446808511 0 10222 2979 |0, 0, 0, 0|81, 128, 1, 2|1311, 2515, 13, 66|1059, 2738, 51, 197|423, 1416, 40, 181
2 3 189 0.0121580547112 0.462006079027 1 10566 3320 |0, 1, 0, 0|27, 101, 0, 1|1490, 2518, 23, 30|1254, 2751, 42, 183|437, 1497, 47, 164
2 2 189 0.00607902735562 0.446808510638 1 10309 2772 |0, 1, 0, 0|27, 107, 0, 1|1330, 2635, 14, 41|947, 2950, 53, 185|375, 1424, 26, 193
2 1 189 0.00759878419453 0.454407294833 1 10147 2806 |0, 1, 0, 0|27, 137, 0, 1|1323, 2699, 24, 60|1004, 2694, 41, 210|353, 1337, 34, 202
3 10 189 0.00607902735562 0.465045592705 1 10137 2785 |0, 1, 0, 0|27, 128, 0, 1|1326, 2640, 23, 69|951, 2613, 35, 234|383, 1445, 40, 221
