Cutoff >1
N1 20000
MaxLen1 12
nHaps NHaps nSp single_nucleotide_pDNCs pDNC_recovered
2 10 99 0.0170316301703 0.530413625304 0 3841 2476 |0, 0, 0, 0|15, 8, 9, 2|449, 390, 307, 144|660, 398, 468, 183|341, 133, 227, 107
2 9 99 0.00973236009732 0.523114355231 0 3719 2263 |0, 0, 0, 0|15, 8, 9, 1|464, 141, 268, 265|611, 324, 420, 361|262, 160, 214, 196
2 8 99 0.0170316301703 0.52798053528 0 3804 2594 |0, 0, 0, 0|15, 7, 9, 1|489, 88, 317, 271|687, 233, 482, 300|337, 154, 258, 156
2 7 99 0.0121654501217 0.523114355231 0 3764 2386 |0, 0, 0, 0|15, 2, 9, 1|498, 116, 310, 305|632, 289, 387, 331|305, 159, 230, 175
2 6 99 0.0170316301703 0.523114355231 0 3753 2411 |0, 0, 0, 0|15, 7, 9, 1|467, 124, 301, 279|674, 254, 430, 340|295, 147, 220, 190
2 5 99 0.0121654501217 0.520681265207 0 3930 2465 |0, 0, 0, 0|15, 7, 9, 1|463, 118, 309, 314|646, 289, 446, 403|323, 171, 254, 162
2 4 99 0.0194647201946 0.523114355231 0 4165 2887 |0, 0, 0, 0|15, 3, 9, 2|566, 306, 345, 132|758, 385, 490, 220|398, 100, 306, 130
2 3 99 0.0194647201946 0.525547445255 0 3539 2478 |0, 0, 0, 0|15, 1, 9, 1|504, 88, 311, 232|658, 180, 441, 316|289, 109, 251, 134
2 2 99 0.0194647201946 0.52798053528 0 4024 2717 |0, 0, 0, 0|15, 8, 9, 2|512, 321, 322, 140|734, 404, 494, 184|338, 143, 293, 105
2 1 99 0.014598540146 0.523114355231 0 4038 2567 |0, 0, 0, 0|15, 1, 9, 1|495, 137, 317, 273|707, 334, 439, 391|335, 172, 250, 162
3 10 99 0.0194647201946 0.52798053528 0 3616 2652 |0, 0, 0, 0|15, 3, 9, 3|534, 280, 332, 88|673, 297, 472, 149|345, 78, 272, 66
3 9 99 0.0243309002433 0.530413625304 0 3018 2700 |0, 0, 0, 0|15, 0, 9, 0|539, 37, 323, 26|738, 107, 446, 50|362, 52, 268, 46
