Cutoff >1
N1 20000
MaxLen1 12
nHaps NHaps nSp single_nucleotide_pDNCs pDNC_recovered
2 10 90 0.020902090209 0.57095709571 0 3894 1908 |0, 0, 0, 0|14, 83, 128, 35|214, 243, 516, 287|238, 325, 447, 429|85, 165, 266, 419
2 9 90 0.031903190319 0.561056105611 0 3450 2589 |0, 0, 0, 0|14, 2, 129, 7|349, 120, 701, 108|302, 187, 591, 180|137, 87, 366, 170
2 8 90 0.03300330033 0.564356435644 0 3440 2580 |0, 0, 0, 0|14, 2, 131, 9|337, 155, 618, 114|321, 164, 623, 204|145, 46, 391, 166
2 7 90 0.013201320132 0.572057205721 0 4380 1849 |0, 0, 0, 0|14, 109, 128, 41|244, 407, 479, 359|227, 405, 421, 531|94, 211, 242, 468
2 6 90 0.03300330033 0.569856985699 0 3420 2347 |0, 0, 0, 0|14, 3, 128, 42|297, 173, 579, 194|254, 182, 590, 222|123, 71, 362, 186
2 5 90 0.035203520352 0.569856985699 0 3303 2582 |0, 0, 0, 0|14, 2, 128, 8|342, 94, 660, 98|304, 144, 603, 156|129, 67, 402, 152
2 4 90 0.018701870187 0.567656765677 0 4140 1875 |0, 0, 0, 0|14, 93, 130, 32|186, 342, 498, 324|235, 325, 427, 516|97, 176, 288, 457
2 3 90 0.035203520352 0.566556655666 0 3195 2352 |0, 0, 0, 0|14, 13, 131, 35|267, 108, 521, 159|297, 145, 571, 171|133, 66, 418, 146
2 2 90 0.02200220022 0.57095709571 0 4098 2072 |0, 0, 0, 0|14, 63, 132, 18|274, 227, 554, 305|243, 314, 465, 494|105, 155, 285, 450
2 1 90 0.035203520352 0.572057205721 0 3457 2635 |0, 0, 0, 0|14, 2, 129, 8|350, 52, 696, 153|297, 115, 607, 231|151, 64, 391, 197
3 10 90 0.03300330033 0.569856985699 0 3110 2264 |0, 0, 0, 0|14, 13, 128, 33|260, 149, 520, 155|304, 130, 542, 192|119, 47, 377, 127
3 9 90 0.036303630363 0.568756875688 0 3160 2641 |0, 0, 0, 0|14, 0, 129, 1|335, 54, 701, 53|311, 90, 620, 141|142, 35, 389, 145
3 8 90 0.036303630363 0.573157315732 0 3039 2476 |0, 0, 0, 0|14, 12, 129, 7|255, 40, 622, 75|310, 85, 616, 171|140, 42, 390, 131
3 7 90 0.031903190319 0.578657865787 0 3377 2420 |0, 0, 0, 0|14, 2, 129, 8|289, 133, 642, 155|278, 191, 588, 230|129, 93, 351, 145
3 6 90 0.02200220022 0.569856985699 0 3698 1894 |0, 0, 0, 0|14, 78, 128, 22|206, 219, 561, 242|201, 263, 430, 490|90, 127, 264, 363
3 5 90 0.035203520352 0.569856985699 0 3168 2474 |0, 0, 0, 0|14, 1, 129, 28|329, 90, 612, 148|287, 138, 579, 123|140, 47, 384, 119
3 4 90 0.031903190319 0.572057205721 0 3330 2487 |0, 0, 0, 0|14, 2, 130, 6|291, 143, 638, 106|303, 172, 629, 179|125, 80, 357, 155
3 3 90 0.035203520352 0.565456545655 0 3133 2327 |0, 0, 0, 0|14, 15, 128, 35|282, 98, 556, 150|308, 144, 548, 146|140, 80, 351, 138
3 2 90 0.026402640264 0.574257425743 0 3764 2087 |0, 0, 0, 0|14, 63, 132, 16|248, 195, 595, 217|265, 237, 475, 445|98, 115, 260, 389
3 1 90 0.018701870187 0.568756875688 0 4032 1699 |0, 0, 0, 0|14, 91, 129, 57|186, 388, 431, 388|230, 352, 410, 478|72, 147, 227, 432
4 10 90 0.025302530253 0.58195819582 0 3435 2134 |0, 0, 0, 0|14, 62, 126, 16|263, 159, 630, 186|232, 170, 486, 309|87, 100, 296, 299
4 9 90 0.036303630363 0.578657865787 0 3018 2722 |0, 0, 0, 0|14, 0, 131, 1|350, 23, 735, 50|357, 56, 591, 78|146, 24, 398, 64
4 8 90 0.036303630363 0.583058305831 0 2926 2570 |0, 0, 0, 0|14, 1, 131, 4|318, 62, 652, 48|322, 80, 582, 71|149, 36, 402, 54
4 7 90 0.039603960396 0.578657865787 0 3006 2643 |0, 0, 0, 0|14, 1, 129, 4|340, 85, 670, 38|283, 89, 658, 69|158, 30, 391, 47
4 6 90 0.036303630363 0.580858085809 0 2993 2571 |0, 0, 0, 0|14, 1, 130, 3|300, 86, 699, 56|321, 93, 575, 69|155, 50, 377, 64
4 5 90 0.025302530253 0.580858085809 0 3507 2046 |0, 0, 0, 0|14, 65, 127, 18|247, 208, 554, 182|257, 240, 466, 299|100, 119, 281, 330
4 4 90 0.036303630363 0.579757975798 0 3012 2641 |0, 0, 0, 0|14, 1, 131, 4|348, 56, 682, 56|325, 82, 591, 81|159, 34, 391, 57
4 3 90 0.035203520352 0.578657865787 0 3054 2654 |0, 0, 0, 0|14, 1, 132, 5|301, 69, 687, 41|332, 104, 628, 73|155, 43, 405, 64
4 2 90 0.025302530253 0.578657865787 0 3562 2109 |0, 0, 0, 0|14, 64, 128, 17|276, 219, 558, 198|245, 224, 443, 302|119, 114, 326, 315
4 1 90 0.037403740374 0.579757975798 0 2731 2511 |0, 0, 0, 0|14, 0, 127, 3|326, 25, 657, 43|309, 38, 584, 46|119, 20, 375, 45
5 10 90 0.04400440044 0.58195819582 0 2768 2751 |0, 0, 0, 0|14, 0, 131, 0|321, 0, 689, 1|332, 1, 675, 4|144, 4, 445, 7
5 9 90 0.04400440044 0.58195819582 0 2805 2786 |0, 0, 0, 0|14, 0, 129, 0|332, 2, 712, 2|338, 7, 623, 5|174, 1, 464, 2
5 8 90 0.041804180418 0.583058305831 0 2676 2655 |0, 0, 0, 0|14, 0, 131, 0|340, 3, 671, 6|351, 3, 583, 2|147, 1, 418, 6
5 7 90 0.041804180418 0.583058305831 0 2804 2762 |0, 0, 0, 0|14, 0, 131, 0|347, 0, 734, 14|327, 2, 642, 9|152, 2, 415, 15
5 6 90 0.039603960396 0.58195819582 0 2703 2587 |0, 0, 0, 0|14, 0, 127, 1|299, 8, 637, 8|309, 34, 630, 21|152, 21, 419, 23
5 5 90 0.041804180418 0.583058305831 0 2731 2686 |0, 0, 0, 0|14, 0, 130, 0|314, 0, 662, 10|347, 4, 629, 10|157, 6, 433, 15
5 4 90 0.029702970297 0.583058305831 0 3418 2202 |0, 0, 0, 0|14, 61, 129, 13|300, 158, 579, 205|246, 155, 483, 270|138, 104, 313, 250
