Cutoff >1
N1 20000
MaxLen1 12
nHaps NHaps nSp single_nucleotide_pDNCs pDNC_recovered
2 10 99 0.00668449197861 0.449197860963 1 5364 1422 |1, 0, 0, 0|12, 106, 7, 21|609, 1588, 263, 301|293, 983, 129, 344|57, 373, 51, 226
2 9 99 0.0494652406417 0.447860962567 1 3903 2272 |1, 0, 0, 0|12, 30, 7, 10|921, 689, 380, 127|480, 378, 217, 149|142, 167, 112, 81
2 8 99 0.0213903743316 0.446524064171 1 4997 1636 |1, 0, 0, 0|12, 83, 7, 19|672, 1348, 309, 267|304, 826, 168, 311|82, 325, 81, 182
2 7 99 0.0374331550802 0.445187165775 1 4161 2048 |1, 0, 0, 0|12, 37, 7, 10|784, 818, 349, 160|445, 566, 226, 183|131, 215, 93, 124
2 6 99 0.0213903743316 0.446524064171 1 5168 1670 |1, 0, 0, 0|12, 97, 7, 21|663, 1338, 318, 299|337, 885, 179, 320|88, 335, 65, 203
2 5 99 0.033422459893 0.447860962567 1 4532 2093 |1, 0, 0, 0|12, 44, 7, 11|805, 870, 386, 194|470, 695, 213, 231|113, 237, 86, 157
2 4 99 0.0494652406417 0.44385026738 1 4244 2465 |1, 0, 0, 0|12, 31, 7, 10|985, 705, 407, 165|530, 445, 269, 170|147, 153, 107, 100
2 3 99 0.0360962566845 0.446524064171 1 4131 2200 |1, 0, 0, 0|12, 10, 7, 3|828, 632, 385, 151|511, 573, 216, 195|131, 240, 109, 127
2 2 99 0.033422459893 0.445187165775 1 4218 1880 |1, 0, 0, 0|12, 43, 7, 11|737, 859, 337, 185|414, 645, 197, 227|104, 224, 71, 144
2 1 99 0.0267379679144 0.446524064171 1 4185 1733 |1, 0, 0, 0|12, 15, 7, 3|682, 799, 305, 225|359, 756, 184, 228|104, 255, 79, 171
3 10 99 0.0387700534759 0.445187165775 1 4108 2091 |1, 0, 0, 0|12, 13, 7, 3|818, 747, 351, 177|477, 581, 208, 188|125, 190, 92, 118
3 9 99 0.024064171123 0.446524064171 1 4806 1884 |1, 0, 0, 0|12, 76, 7, 19|794, 1126, 347, 248|373, 768, 185, 273|106, 268, 59, 144
3 8 99 0.0307486631016 0.447860962567 1 4131 1979 |1, 0, 0, 0|12, 10, 7, 3|819, 685, 344, 179|418, 672, 182, 225|113, 240, 83, 138
3 7 99 0.0374331550802 0.450534759358 1 3984 1999 |1, 0, 0, 0|12, 35, 7, 10|775, 796, 340, 161|476, 483, 196, 200|106, 167, 86, 133
3 6 99 0.0227272727273 0.445187165775 1 4832 1756 |1, 0, 0, 0|12, 78, 7, 20|723, 1194, 298, 230|363, 822, 177, 288|101, 263, 74, 181
3 5 99 0.0521390374332 0.445187165775 1 3564 2512 |1, 0, 0, 0|12, 8, 7, 0|932, 370, 433, 69|567, 308, 274, 117|153, 115, 133, 65
3 4 99 0.0374331550802 0.449197860963 1 4028 2084 |1, 0, 0, 0|12, 14, 7, 3|798, 663, 369, 181|472, 555, 212, 221|110, 214, 103, 93
3 3 99 0.0508021390374 0.446524064171 1 3253 2477 |1, 0, 0, 0|12, 3, 7, 0|958, 204, 420, 69|563, 251, 270, 86|124, 118, 122, 45
3 2 99 0.0494652406417 0.450534759358 1 3932 2339 |1, 0, 0, 0|12, 33, 7, 10|855, 675, 412, 144|557, 362, 237, 145|144, 135, 114, 89
3 1 99 0.0280748663102 0.446524064171 1 4143 2035 |1, 0, 0, 0|12, 9, 7, 4|821, 641, 358, 152|433, 653, 195, 226|107, 266, 101, 157
4 10 99 0.0494652406417 0.45320855615 1 3453 2355 |1, 0, 0, 0|12, 27, 7, 10|881, 430, 383, 97|594, 273, 231, 114|144, 94, 102, 53
4 9 99 0.0494652406417 0.45320855615 1 3411 2419 |1, 0, 0, 0|12, 26, 7, 10|908, 409, 403, 84|592, 250, 235, 84|132, 74, 129, 55
4 8 99 0.0614973262032 0.454545454545 1 2845 2782 |1, 0, 0, 0|12, 0, 7, 0|1051, 7, 448, 0|644, 36, 289, 4|185, 6, 145, 10
4 7 99 0.0494652406417 0.45320855615 1 3422 2405 |1, 0, 0, 0|12, 26, 7, 10|951, 417, 405, 76|535, 266, 249, 91|141, 82, 104, 49
4 6 99 0.0374331550802 0.454545454545 1 3693 2089 |1, 0, 0, 0|12, 30, 7, 10|813, 593, 331, 129|481, 456, 214, 152|133, 146, 97, 88
4 5 99 0.0307486631016 0.451871657754 1 3597 1888 |1, 0, 0, 0|12, 7, 7, 3|738, 567, 335, 141|410, 522, 193, 205|104, 173, 88, 91
4 4 99 0.0494652406417 0.454545454545 1 3426 2328 |1, 0, 0, 0|12, 26, 7, 10|888, 422, 364, 98|559, 284, 239, 108|150, 106, 108, 44
4 3 99 0.0614973262032 0.454545454545 1 2852 2769 |1, 0, 0, 0|12, 1, 7, 0|1027, 11, 438, 1|700, 33, 281, 11|177, 18, 126, 8
4 2 99 0.0508021390374 0.45320855615 1 2981 2517 |1, 0, 0, 0|12, 1, 7, 0|996, 125, 420, 35|551, 163, 256, 53|157, 57, 117, 30
4 1 99 0.0494652406417 0.454545454545 1 3525 2420 |1, 0, 0, 0|12, 26, 7, 10|949, 435, 395, 72|556, 279, 250, 96|144, 112, 106, 75
5 10 99 0.0521390374332 0.454545454545 1 2961 2506 |1, 0, 0, 0|12, 1, 7, 0|931, 125, 408, 30|576, 150, 286, 45|141, 63, 144, 41
5 9 99 0.0614973262032 0.454545454545 1 2826 2762 |1, 0, 0, 0|12, 0, 7, 0|1023, 15, 442, 0|680, 19, 267, 13|182, 13, 148, 4
5 8 99 0.0614973262032 0.454545454545 1 2769 2751 |1, 0, 0, 0|12, 0, 7, 0|1051, 2, 423, 0|673, 10, 256, 2|198, 0, 130, 4
5 7 99 0.0614973262032 0.454545454545 1 2833 2831 |1, 0, 0, 0|12, 0, 7, 0|1045, 0, 433, 0|719, 2, 293, 0|180, 0, 141, 0
5 6 99 0.0614973262032 0.454545454545 1 2799 2789 |1, 0, 0, 0|12, 0, 7, 0|1042, 1, 429, 0|663, 5, 296, 2|188, 0, 151, 2
5 5 99 0.0614973262032 0.454545454545 1 2868 2813 |1, 0, 0, 0|12, 0, 7, 0|1044, 11, 421, 0|691, 24, 280, 7|204, 11, 153, 2
5 4 99 0.0614973262032 0.454545454545 1 2875 2833 |1, 0, 0, 0|12, 0, 7, 0|1076, 6, 457, 0|664, 12, 284, 8|195, 10, 137, 6
5 3 99 0.0614973262032 0.454545454545 1 2808 2797 |1, 0, 0, 0|12, 0, 7, 0|1025, 6, 452, 0|691, 3, 285, 0|191, 2, 133, 0
5 2 99 0.0401069518717 0.454545454545 1 3607 2282 |1, 0, 0, 0|12, 5, 7, 3|883, 462, 387, 114|525, 387, 211, 147|149, 132, 107, 75
5 1 99 0.0614973262032 0.454545454545 1 2895 2859 |1, 0, 0, 0|12, 0, 7, 0|1039, 8, 467, 2|699, 12, 320, 4|179, 6, 135, 4
6 10 99 0.0614973262032 0.454545454545 1 2763 2749 |1, 0, 0, 0|12, 0, 7, 0|1042, 2, 393, 0|665, 9, 312, 0|181, 1, 136, 2
6 9 99 0.0614973262032 0.454545454545 1 2865 2865 |1, 0, 0, 0|12, 0, 7, 0|1102, 0, 418, 0|698, 0, 307, 0|200, 0, 120, 0
6 8 99 0.0614973262032 0.454545454545 1 2815 2772 |1, 0, 0, 0|12, 0, 7, 0|1033, 6, 438, 0|696, 19, 274, 2|176, 8, 135, 8
6 7 99 0.0614973262032 0.454545454545 1 2845 2843 |1, 0, 0, 0|12, 0, 7, 0|1091, 1, 414, 0|695, 0, 298, 0|186, 1, 139, 0
