Cutoff >1
N1 20000
MaxLen1 12
nHaps NHaps nSp single_nucleotide_pDNCs pDNC_recovered
2 10 99 0.0340632603406 0.523114355231 0 6779 4268 |0, 0, 0, 0|10, 4, 13, 3|822, 591, 814, 253|1068, 747, 839, 408|325, 271, 377, 234
2 9 99 0.0243309002433 0.518248175182 0 7239 4110 |0, 0, 0, 0|10, 4, 13, 6|850, 561, 771, 318|998, 956, 801, 588|325, 390, 342, 306
2 8 99 0.014598540146 0.518248175182 0 7700 3258 |0, 0, 0, 0|10, 9, 13, 8|714, 949, 649, 612|779, 1168, 653, 879|227, 402, 213, 415
2 7 99 0.0243309002433 0.525547445255 0 7258 3689 |0, 0, 0, 0|10, 6, 13, 5|743, 711, 737, 428|937, 1087, 711, 622|273, 371, 265, 339
2 6 99 0.0194647201946 0.518248175182 0 7158 3532 |0, 0, 0, 0|10, 6, 13, 5|735, 820, 738, 397|814, 1079, 685, 628|256, 373, 281, 318
2 5 99 0.0243309002433 0.515815085158 0 7527 3814 |0, 0, 0, 0|10, 1, 13, 9|870, 786, 745, 478|875, 1073, 738, 689|278, 330, 285, 347
2 4 99 0.0170316301703 0.520681265207 0 7775 3861 |0, 0, 0, 0|10, 2, 13, 4|827, 727, 788, 457|929, 1170, 734, 752|288, 463, 272, 339
2 3 99 0.0194647201946 0.52798053528 0 7928 3435 |0, 0, 0, 0|10, 5, 13, 8|717, 919, 682, 457|819, 1400, 704, 767|243, 506, 247, 431
2 2 99 0.0170316301703 0.520681265207 0 7819 3367 |0, 0, 0, 0|10, 6, 13, 10|735, 953, 648, 550|806, 1284, 657, 753|265, 467, 233, 429
2 1 99 0.0170316301703 0.518248175182 0 7924 3626 |0, 0, 0, 0|10, 2, 13, 4|779, 808, 768, 396|846, 1327, 734, 798|238, 543, 238, 420
3 10 99 0.0267639902676 0.518248175182 0 6879 4307 |0, 0, 0, 0|10, 2, 13, 2|919, 550, 873, 257|1066, 765, 812, 490|312, 271, 302, 235
3 9 99 0.0194647201946 0.523114355231 0 6906 3473 |0, 0, 0, 0|10, 6, 13, 6|713, 805, 676, 341|816, 1002, 780, 591|241, 379, 224, 303
3 8 99 0.029197080292 0.520681265207 0 7339 4040 |0, 0, 0, 0|10, 5, 13, 6|818, 635, 807, 383|956, 948, 811, 644|324, 372, 301, 306
3 7 99 0.021897810219 0.523114355231 0 6376 3474 |0, 0, 0, 0|10, 10, 13, 4|730, 710, 683, 291|853, 849, 691, 522|232, 265, 262, 251
3 6 99 0.0170316301703 0.518248175182 0 7236 3808 |0, 0, 0, 0|10, 6, 13, 3|765, 633, 771, 364|929, 1069, 778, 614|254, 395, 288, 344
