Cutoff >1
N1 20000
MaxLen1 12
nHaps NHaps nSp single_nucleotide_pDNCs pDNC_recovered
2 10 90 0.019801980198 0.57095709571 2 4975 2847 |1, 0, 1, 0|96, 25, 232, 35|642, 561, 493, 272|471, 428, 490, 370|140, 176, 281, 261
2 9 90 0.00770077007701 0.567656765677 2 5460 2549 |1, 0, 1, 0|95, 91, 236, 64|596, 799, 408, 438|420, 551, 468, 461|115, 224, 209, 283
2 8 90 0.02200220022 0.57095709571 2 4896 2650 |1, 0, 1, 0|95, 64, 235, 69|667, 407, 420, 463|401, 356, 443, 406|160, 190, 227, 291
2 7 90 0.020902090209 0.572057205721 2 5637 2587 |1, 0, 1, 0|96, 89, 228, 65|613, 636, 408, 495|466, 540, 416, 590|153, 216, 205, 419
2 6 90 0.013201320132 0.57095709571 2 4923 2605 |1, 0, 1, 0|92, 25, 233, 106|624, 531, 416, 386|434, 429, 437, 411|125, 147, 242, 283
2 5 90 0.017601760176 0.568756875688 2 5650 2377 |1, 0, 1, 0|93, 26, 225, 51|549, 577, 420, 453|362, 571, 413, 727|107, 260, 206, 608
2 4 90 0.014301430143 0.568756875688 2 4990 2864 |1, 0, 1, 0|92, 77, 238, 44|660, 531, 492, 288|486, 429, 462, 340|161, 181, 271, 236
2 3 90 0.02200220022 0.564356435644 2 4847 2690 |1, 0, 1, 0|97, 25, 233, 33|628, 415, 449, 328|419, 384, 472, 489|133, 138, 257, 345
2 2 90 0.014301430143 0.569856985699 2 5186 2537 |1, 0, 1, 0|93, 31, 231, 45|568, 562, 431, 417|409, 442, 462, 499|126, 208, 215, 445
2 1 90 0.01100110011 0.567656765677 2 5150 2637 |1, 0, 1, 0|96, 77, 234, 64|613, 639, 505, 463|426, 447, 416, 394|125, 174, 220, 255
3 10 90 0.014301430143 0.575357535754 2 4994 2748 |1, 0, 1, 0|95, 25, 233, 40|629, 633, 501, 284|466, 501, 452, 364|129, 165, 241, 234
3 9 90 0.018701870187 0.573157315732 2 4695 3030 |1, 0, 1, 0|95, 19, 232, 32|711, 435, 502, 211|538, 371, 544, 326|171, 110, 235, 161
3 8 90 0.020902090209 0.569856985699 2 4278 2837 |1, 0, 1, 0|95, 17, 238, 26|662, 329, 485, 171|467, 316, 491, 249|143, 152, 254, 181
3 7 90 0.013201320132 0.572057205721 2 5279 2811 |1, 0, 1, 0|95, 81, 234, 49|660, 671, 510, 348|460, 390, 478, 439|126, 171, 246, 319
3 6 90 0.015401540154 0.566556655666 2 5226 2881 |1, 0, 1, 0|94, 95, 233, 45|671, 690, 488, 338|511, 418, 491, 320|148, 185, 243, 254
3 5 90 0.00990099009901 0.568756875688 2 5221 2675 |1, 0, 1, 0|95, 95, 238, 131|628, 740, 439, 390|425, 460, 450, 345|128, 168, 270, 217
3 4 90 0.017601760176 0.567656765677 2 4987 2744 |1, 0, 1, 0|95, 73, 233, 42|628, 496, 522, 414|446, 359, 435, 367|160, 153, 223, 339
3 3 90 0.018701870187 0.572057205721 2 5050 2989 |1, 0, 1, 0|93, 76, 234, 39|698, 593, 543, 273|485, 381, 490, 321|144, 155, 300, 223
3 2 90 0.02200220022 0.576457645765 2 4634 2977 |1, 0, 1, 0|94, 17, 234, 32|679, 419, 503, 209|526, 365, 502, 290|164, 119, 273, 206
3 1 90 0.02200220022 0.566556655666 2 4475 2851 |1, 0, 1, 0|95, 28, 227, 98|660, 444, 470, 330|483, 265, 487, 210|162, 115, 265, 134
4 10 90 0.02200220022 0.57095709571 2 4625 2709 |1, 0, 1, 0|95, 13, 237, 43|641, 399, 444, 371|481, 361, 449, 309|123, 158, 237, 262
4 9 90 0.023102310231 0.563256325633 2 5000 2703 |1, 0, 1, 0|93, 25, 234, 66|666, 498, 457, 462|445, 398, 428, 406|142, 178, 236, 264
4 8 90 0.020902090209 0.57095709571 2 5470 2508 |1, 0, 1, 0|94, 91, 234, 66|591, 685, 413, 503|446, 468, 428, 554|102, 214, 198, 381
4 7 90 0.019801980198 0.565456545655 2 4766 2780 |1, 0, 1, 0|94, 74, 237, 108|693, 497, 433, 369|487, 357, 422, 255|165, 119, 247, 207
4 6 90 0.019801980198 0.569856985699 2 4992 2517 |1, 0, 1, 0|95, 89, 232, 67|582, 645, 440, 361|395, 446, 426, 419|120, 192, 225, 256
4 5 90 0.017601760176 0.568756875688 2 4968 3095 |1, 0, 1, 0|94, 80, 237, 41|708, 588, 531, 280|502, 331, 537, 261|177, 142, 307, 150
4 4 90 0.024202420242 0.572057205721 2 4590 3031 |1, 0, 1, 0|96, 5, 232, 89|705, 266, 506, 283|519, 319, 526, 244|175, 151, 270, 202
4 3 90 0.026402640264 0.57095709571 2 4649 2732 |1, 0, 1, 0|95, 65, 230, 51|644, 342, 477, 285|452, 322, 474, 366|151, 184, 207, 302
4 2 90 0.027502750275 0.57095709571 2 4246 3057 |1, 0, 1, 0|94, 4, 236, 16|712, 226, 503, 170|508, 270, 534, 207|186, 124, 282, 172
4 1 90 0.018701870187 0.567656765677 2 4685 2742 |1, 0, 1, 0|93, 18, 233, 99|647, 463, 473, 321|439, 402, 477, 311|136, 133, 242, 196
5 10 90 0.019801980198 0.57095709571 2 5499 2640 |1, 0, 1, 0|94, 92, 230, 68|618, 629, 442, 492|445, 467, 440, 552|135, 189, 234, 370
5 9 90 0.019801980198 0.568756875688 2 4769 2980 |1, 0, 1, 0|96, 23, 233, 102|728, 412, 482, 343|514, 343, 503, 263|142, 132, 280, 171
5 8 90 0.025302530253 0.569856985699 2 4875 3220 |1, 0, 1, 0|92, 23, 233, 42|760, 433, 556, 356|516, 300, 574, 248|175, 105, 312, 148
5 7 90 0.024202420242 0.576457645765 2 4703 3129 |1, 0, 1, 0|96, 18, 237, 18|684, 377, 582, 195|517, 331, 559, 272|155, 159, 297, 204
5 6 90 0.016501650165 0.568756875688 2 4877 2872 |1, 0, 1, 0|95, 86, 235, 51|626, 550, 496, 315|487, 388, 505, 287|157, 132, 269, 196
5 5 90 0.020902090209 0.576457645765 2 4918 2911 |1, 0, 1, 0|92, 78, 234, 57|693, 510, 490, 430|478, 322, 484, 280|182, 138, 256, 192
5 4 90 0.015401540154 0.569856985699 2 4956 2952 |1, 0, 1, 0|96, 26, 233, 33|726, 549, 522, 262|508, 402, 501, 335|139, 155, 225, 242
